Species,Extraction_code,lat,long
Tilapia_sparrmanii,234,-28.2417,17.3469
Sandelia_capensis,358,-33.9552,25.5137
Sandelia_capensis,362,-33.9552,25.5137
Anguilla_mossambica,30,-33.0456,26.6618
Anguilla_mossambica,34,-33.4238,25.4821
Glossogobius_callidus,14,-33.7146,25.2995
Glossogobius_callidus,15,-33.7146,25.2995
Clarias_gariepinus,279,-28.3206,17.3736
Clarias_gariepinus,226,NA,NA
Enteromius_pallidus,186173,-33.9522,25.4998
Pseudobarbus_swartzi,203793,-33.8761,23.8391
Pseudobarbus_swartzi,210590,-33.8507,25.0388
Pseudobarbus_afer,145,-33.689,25.3183